price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,zipcode,lat,long
700000,4,1,1300,1651359,1,4,6,0,1920,98022,47.2313,-122.023
190000,2,1,710,1164794,1,2,5,0,1915,98014,47.6888,-121.909
542500,5,3.25,3010,1074218,1.5,5,8,1000,1931,98027,47.4564,-122.004
855000,4,3.5,4030,1024068,2,3,10,0,2006,98045,47.4619,-121.744
998000,4,3.25,3770,982998,2,3,10,0,1992,98058,47.414,-122.087
790000,2,3,2560,982278,1,3,8,0,2004,98014,47.6955,-121.861
2.00E+06,2,2.5,3900,920423,2,3,12,0,2009,98065,47.5371,-121.756
1.65E+06,4,3.25,3920,881654,3,3,11,0,2002,98024,47.5385,-121.896
937500,4,4,5545,871200,2,3,11,1940,2003,98014,47.676,-121.882
1.60E+06,4,5.5,6530,871200,2,3,11,0,2008,98014,47.664,-121.878
550000,3,2,3650,843309,2,4,7,0,1991,98070,47.3627,-122.496
750000,3,2.5,2350,715690,1.5,4,9,0,1979,98022,47.1622,-121.971
849900,2,2,2280,641203,2,3,9,0,1990,98070,47.4125,-122.455
700000,3,2.5,2530,623779,1,4,8,0,1980,98038,47.4188,-121.949
700000,2,1.75,1679,577605,2,3,9,0,2001,98070,47.463,-122.475
425000,3,2.75,1360,542322,1,4,7,220,1955,98022,47.2069,-122.024
375000,1,1,800,533610,1.5,5,5,0,1950,98038,47.4134,-121.986
428000,3,1.75,1580,507038,1,4,7,0,1985,98022,47.2303,-121.936
999000,3,2.75,2830,505166,1,4,8,1000,1962,98070,47.3782,-122.514
920000,4,3.75,4030,503989,2,3,10,0,2008,98045,47.4807,-121.795
800000,5,1.75,1930,501376,2,3,7,0,1930,98014,47.6294,-121.911
350000,4,2.25,1570,499571,1,4,7,0,1972,98022,47.1808,-122.023
745000,5,4,4720,493534,2,5,9,760,1975,98027,47.4536,-122.009
667000,3,1.75,3320,478288,1.5,4,8,1060,1933,98022,47.2407,-121.953
